Código,Descrição, Porte  ,Número de Auxiliares,Porte Anestésico,Filme m² 
10103015,Atendimento ao recém-nascido em berçário , 3C ,,,
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco) , 4C ,,,
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco), 5B ,,,
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente), 3C ,,,
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico", 3C ,,,
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico", 2B ,,,
10105077,"Acompanhamento médico para transporte intra-hospitalar  de pacientes graves, com ventilação assistida, da UTI  para o centro de diagnóstico", 2B ,,,
10106014,Aconselhamento genético, 4A ,,,
10106030,Atendimento ao familiar do adolescente, 1C ,,,
10106049,Atendimento pediátrico a gestantes (3º trimestre), 2B ,,,
10106073,Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional , 3B ,,,
10106146,Atendimento ambulatorial em puericultura (com diretriz clínica definida pela ANS - nº 2), 3B ,,,
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação, 2B ,,,
20101023,Analise da proporcionalidade cineantropometrica, 1A ,,,
20101074,Avaliação nutrológica (inclui consulta) , 2B ,,,
20101082,Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta) , 2B ,,,
20101090,Avaliação da composição corporal por antropometria (inclui consulta), 2B ,,,
20101104,Avaliacao da composicao corporal por bioimpedanciometria, 1B ,,,
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária, 2C ,,,
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)", 2B ,,,
20101236,Avaliação geriátrica ampla - AGA (com diretriz clinica definida pela Ans - nº 1), 3B ,,,
20101368,Teste de provocação oral (TPO) com alimentos (com diretriz definida pela ANS - nº 152) , 7A ,,,
20101465,Acompanhamento clínico ambulatorial pós-transplante hepático, 2B ,,,
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal (com diretriz definida pela ANS - nº 8)", 4A ,,,
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo), 3A ,,,
20104022,Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para, 1A ,,,
20104049,Cateterismo vesical em retenção urinária, 1C ,,,
20104057,Cauterização química vesical, 2B ,,,
20104065,Cerumen - remoção (bilateral), 1B ,,,
20104073,Crioterapia (grupo de até 5 lesões) , 2A ,,,
20104081,"Curativos em geral com anestesia, exceto queimados ", 1A ,,,
20104090,Curativo de extremidades de origem vascular , 2A ,,,
20104103,"Curativos em geral sem anestesia, exceto queimados ", 1A ,,,
20104111,Dilatação uretral (sessão), 2C ,,,
20104120,Fototerapia com UVA (PUVA) (por sessão), 1B ,,,
20104138,Imunoterapia específica - 30 dias - planejamento técnico, 2C ,,,
20104146,Imunoterapia inespecífica - 30 dias - planejamento técnico, 2C ,,,
20104154,Instilação vesical ou uretral, 2B ,,,
20104200,Sessao de psicoterapia de grupo (por paciente) (médico), 2A ,,,
20104219,Sessao de psicoterapia individual (médico) , 2C ,,,
20104227,Sessao de psicoterapia infantil (médico) , 2C ,,,
20104243,Terapia oncológica com altas doses - planejamento e 1º dia de tratamento, 7A ,,,
20104251,Terapia oncológica com altas doses - por dia subsequente de tratamento , 2C ,,,
20104260,Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento , 4C ,,,
20104278,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento , 4B ,,,
20104286,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - por dia subsequente de tratamento , 2A ,,,
20104294,Terapia oncológica - planejamento e 1º dia de tratamento, 4A ,,,
20104308,Terapia oncológica - por dia subsequente de tratamento , 1C ,,,
20104316,Curativo de ouvido (cada) , 1B ,,,
20104324,Curativo oftalmológico, 1B ,,,
20104383,Pulsoterapia intravenosa (por sessão) - ambulatorial , 4C ,,,
20104391,Terapia imunobiológica intravenosa (por sessão) - ambulatorial (com diretriz definida pela ANS - nº 65) , 4C ,,,
20104421,Terapia imunobiológica subcutânea (por sessão) ambulatorial  (com diretriz definida pela ANS - nº 65 e 65.14) , 2B ,,,
20104464,Terapia imunoprofilática com Palivizumabe para o vírus sincicial respiratório (VSR) (por sessão) - ambulatorial  (com diretriz definida pela ANS - nº 124),2C,,,
20201010,Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias), 14A ,,,
20201036,Assistencia cardiologica peroperatoria em cirurgia geral e em parto (primeira hora), 3A ,,,
20201044,Assistencia cardiologica peroperatoria em cirurgia geral e em parto (horas suplementares) - maximo de 4 horas, 2A ,,,
20201052,"Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação)", 2C ,,,
20201060,Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita, 2C ,,,
20201087,"Tratamento  conservador  de  traumatismo  cranioencefálico, hipertensão  intracraniana  e  hemorragia (por dia)", 3C ,,,
20201095,Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI), 2A ,,,
20201109,Avaliação clínica diária enteral, 2B ,,,
20201117,Avaliação clínica diária parenteral, 3A ,,,
20201125,Avaliação clínica diária parenteral e enteral, 3B ,,,
20201141,Acompanhamento clínico de transplante hepático no período de internação do receptor e do doador, 2B ,,,
20202067,Monitorização da pressão intracraniana (por dia), 2B ,,,
20204027,Cardioversão elétrica de emergência, 2C ,,,
20204035,Cardioversão química de arritmia paroxística em emergência, 2C ,,,
20204043,Priapismo - tratamento não cirúrgico, 3A ,,,
20204086,"Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação peroperatória, por meio de cronoinfusor ou perfusor extra-corpórea ", 8B ,,,
20204159,Pulsoterapia intravenosa (por sessão) - hospitalar , 4C ,,,
20204167,Terapia imunobiológica intravenosa (por sessão) - hospitalar (com diretriz definida pela ANS - nº 65), 4C ,,,
20204175,Terapia imunobiológica subcutânea (por sessão) hospitalar  (com diretriz definida pela ANS - nº 65) , 2B ,,,
20204183,Terapia imunoprofilática com Palicizumabe para o vírus sincicial respiratório (VSR) (por sessão) - hospitalar  (com diretriz definida pela ANS - nº 124),2C,,,
20204248,Terapia com alfacerliponase para Lipofuscinose Ceroide Neuronal Tipo 2 (CLN2) (com diretriz definida pela ANS – nº 153),4C,,,
30101018,Abrasão cirúrgica (por sessão), 3C ,,2,
30101050,Apêndice pré-auricular - ressecção, 4A ,1,4,
30101069,Autonomização de retalho - por estágio , 5B ,1,2,
30101077,"Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc", 2B ,1,0,
30101085,Biópsia de unha, 2B ,,0,
30101093,Calosidade e/ou mal perfurante - desbastamento (por lesão), 1B ,,0,
30101107,Cauterização química (por grupo de até 5 lesões) , 2A ,,0,
30101115,Cirurgia da hidrosadenite (por região), 5B ,1,3,
30101123,Cirurgia micrográfica de Mohs, 5C ,,3,
30101140,Correção cirúrgica de linfedema (por estágio), 9C ,2,4,
30101158,Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região), 6A ,1,5,
30101166,Correção de deformidades nos membros com utilização de implantes, 9B ,2,6,
30101174,"Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio)", 9B ,2,4,
30101182,"Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio)", 9B ,2,4,
30101204,Criocirurgia (nitrogênio líquido) de neoplasias cutâneas, 3B ,,2,
30101212,Curativo de queimaduras - por unidade topográfica (UT) ambulatorial , 1C ,,1,
30101220,Curativo de queimaduras - por unidade topográfica (UT) hospitalar, 2C ,,1,
30101239,Curativo especial sob anestesia - por unidade topográfica (UT) , 2C ,,1,
30101247,Curetagem e eletrocoagulação de CA de pele (por lesão), 3A ,,0,
30101255,Curetagem simples de lesões de pele (por grupo de até 5 lesões), 2A ,,0,
30101263,Dermoabrasão de lesões cutâneas, 4C ,,0,
30101271,Dermolipectomia para correcao de abdomen em avental  (com diretriz definida pela ANS - nº 18) , 9C ,2,5,
30101280,Desbridamento cirúrgico - por unidade topográfica (UT) , 3C ,,2,
30101298,Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões), 2C ,,0,
30101301,Enxerto cartilaginoso, 5B ,1,2,
30101310,Enxerto composto , 5B ,1,2,
30101328,Enxerto de mucosa, 5B ,1,2,
30101336,Enxerto de pele (homoenxerto inclusive), 5B ,2,2,
30101344,Enxerto de pele múltiplo - por unidade topográfica (UT), 5B ,2,2,
30101352,Epilação por eletrólise (por sessão), 2A ,,0,
30101360,Escalpo  parcial  -  tratamento cirúrgico, 6A ,2,4,
30101379,Escalpo total - tratamento cirúrgico, 9B ,2,5,
30101387,Escarectomia descompressiva (pele e estruturas profundas) - por unidade topográfica (UT), 3B ,,2,
30101425,Exérese de higroma cístico, 9A ,1,3,
30101433,Exérese de higroma cístico no RN e lactente, 11C ,2,5,
30101441,Exérese de lesão com auto-enxertia , 5C ,1,2,
30101450,Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos , 5A ,1,2,
30101468,Exérese de lesão / tumor de pele e mucosas , 3C ,1,0,
30101476,Exérese de tumor e rotação de retalho músculo-cutâneo, 5B ,1,2,
30101484,Exérese de unha, 2B ,,0,
30101492,Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões), 3B ,,0,
30101506,Exerese tangencial (shaving) - (por grupo de ate 5 lesoes), 2C ,,2,
30101514,Expansão tissular (por sessão), 1C ,,2,
30101522,"Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região", 8B ,1,3,
30101530,"Extensos ferimentos, cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou musculares  cruzados (por estágio) ", 9B ,1,4,
30101549,"Extensos ferimentos, cicatrizes ou tumores - exérese e retalhos cutâneos à distância", 9B ,1,4,
30101557,"Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou axial ", 9B ,1,4,
30101565,"Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos", 9A ,1,4,
30101573,"Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos musculares ", 9A ,1,4,
30101581,"Extensos ferimentos, cicatrizes, ou tumores - exérese e enxerto cutâneo", 8A ,1,3,
30101590,Face - biópsia, 3B ,,0,
30101603,Ferimentos infectados e mordidas de animais (desbridamento), 2B ,1,2,
30101611,Incisão e drenagem de tenossinovites purulentas, 3B ,1,2,
30101620,"Incisão e drenagem de abscesso, hematoma ou panarício ", 2B ,,0,
30101638,Incisão e drenagem de flegmão, 3A ,,0,
30101646,"Infiltração  intralesional, cicatricial / hemangiomas - por sessão", 1C ,,0,
30101662,Matricectomia por dobra ungueal, 3A ,,0,
30101670,Plástica em Z ou W , 4A ,1,2,
30101689,Reconstrução com retalhos de gálea aponeurótica, 8C ,2,5,
30101697,Retalho composto (incluindo cartilagem ou osso), 8C ,2,5,
30101700,Retalho local ou regional, 8A ,2,3,
30101719,Retalho muscular ou miocutâneo, 8B ,2,4,
30101735,Retirada de corpo estranho subcutâneo, 2C ,,0,
30101743,Retração cicatricial de axila - tratamento cirúrgico, 5B ,2,3,
30101751,Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores - tratamento cirúrgico, 5B ,1,3,
30101760,Retração cicatricial do cotovelo - tratamento cirúrgico, 5B ,2,3,
30101778,Retração de aponevrose palmar (Dupuytren) - tratamento cirúrgico, 5B ,1,3,
30101786,Sutura de extensos ferimentos com ou sem desbridamento , 5B ,1,3,
30101794,Sutura de pequenos ferimentos com ou sem desbridamento , 2B ,,0,
30101808,Transecção de retalho, 5B ,1,3,
30101816,Transferência intermediária de retalho, 5B ,1,3,
30101824,Tratamento cirúrgico de bridas constrictivas , 9A ,1,3,
30101832,Tratamento cirúrgico de grandes hemangiomas , 9C ,2,4,
30101840,Tratamento da miiase furunculóide (por lesão) , 2C ,,0,
30101867,Tratamento de escaras ou ulcerações com enxerto de pele , 9A ,1,4,
30101875,Tratamento de escaras ou ulcerações com retalhos cutâneos locais , 9A ,1,4,
30101883,Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares, 9B ,1,5,
30101891,Tratamento de fístula cutânea, 3B ,,2,
30101913,Tu partes moles - exérese, 4A ,1,1,
30101921,"Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões) ", 3B ,1,0,
30101930,Abscesso de unha (drenagem) - tratamento cirúrgico, 2B ,,0,
30101948,Cantoplastia ungueal, 3A ,1,2,
30101956,Unha (enxerto) - tratamento cirúrgico, 2B ,1,2,
30101972,Abdominoplastia pós bariátrica  (com diretriz definida pela ANS - nº 18) , 10A ,2,5,
30201012,Biopsia de labio (com diretriz definida pela ANS - nº 83) , 2B ,,0,
30201020,Excisão com plástica de vermelhão , 5B ,2,3,
30201039,Excisão com reconstrução à custa de retalhos , 7C ,2,3,
30201047,Excisão com reconstrução total , 10B ,2,5,
30201055,Excisão em cunha , 2B ,1,0,
30201063,Frenotomia labial, 2C ,,0,
30201071,Queiloplastia para fissura labial unilateral - por estágio, 9B ,1,4,
30201080,Reconstrução de sulco gengivo-labial, 6A ,1,3,
30201098,Reconstrução total do lábio, 10B ,2,5,
30201101,Tratamento cirúrgico da macrostomia, 5B ,1,3,
30201110,Tratamento cirúrgico da microstomia, 5B ,1,3,
30201128,Reconstrução parcial do lábio,7C,2,5,
30202019,Alongamento cirúrgico do palato mole, 9A ,1,4,
30202027,"Biopsia de boca (com diretriz definida pela ANS - nº 81, 87 e 91 ) ", 2B ,,0,
30202035,Excisão de lesão maligna com reconstrução à custa de retalhos locais, 8B ,3,4,
30202043,Excisão de tumor de boca com mandibulectomia, 10A ,3,5,
30202051,Exérese de tumor e enxerto cutâneo ou mucoso (com diretriz definida pela ANS - nº 87 e 88) , 5B ,1,4,
